word,meaning
be,"있다, 있다, 참석"
the,그
and,"-와/과, … 더하기, …하더니"
of,…의
to,"…로[에], …까지"
in,"…에[에서], …에[에서/안에]"
have,"가지다, …으로 되어"
a,"하나의[…당], …와 같은 사람"
it,"그것, 아기, 그것"
you,너
for,"위한, 위해, …에 대해"
do,"하다, 하다[되어 가다]"
I,"나는,내가"
we,우리[저희]
they,"그들, 그 사람, 사람들"
that,"저 사람, 그 사람, 사람들[그것들]"
on,"…, ~에, …으로[…을 타고]"
This,"이, ~의 이 …"
but,"그러나[-이나], -데도"
with,"…와 함께, …을 가진, …로"
not,"…아니다[않다], 아닌지"
or,"아니면, 안 그러면[안 그랬다간]"
at,"…에, …살에 […살 때]"
he,"그, 사람[자신], 하느님"
from,"…에서, …부터, …에게서"
as,"…하는 동안에, …대로, 때문에"
can,"…할 수 있다, …할 줄 알다"
what,"무슨, 어떠한, 무엇의"
about,"…에 대한, …에 관한, …로 바삐"
She,그녀
so,"그렇게 , 정말, 그렇게[그 정도로]"
if,"만약 …면, …지"
by,"… 옆, …에, …로, …까지는"
get,"받다, 얻다, 받다[보다]"
will,"…일[할] 것이다, …할 것이다[…하려고 하다]"
people,"사람들, 사람들[사람]"
go,"가다, 가다[다니다]"
which,어느[어떤]
make,만들다[제작/제조하다]
think,"생각하다, 생각[상상/짐작]하다"
who,"누구, …한 사람, 누구를"
all,"전부, 만물"
time,"시간, 시간[시/시각]"
know,"알다, 알다[알고 지내다/익숙하다]"
when,"언제, …한, 그 때"
there,"거기에[에서], 있는, 거기에서[그 점에서]"
some,"조금[약간의/몇몇의], 일부의[어떤]"
now,"지금, 지금[이제], 자"
out,"으로부터, …밖에[으로]"
up,"위쪽으로, 위로"
how,"…하는 방법[정도, …하는 방법[상태"
like,좋아하다[마음에 들어 하다/즐기다]
use,"쓰다, 소비하다[쓰다]"
year,"해[년/연], 1년[한 해]"
way,"방법, 방식, 길[진로]"
take,가지고 가다[이동시키다]
other,"다른 사람, 다른 것, 다른 하나"
see,"보다, 앞을 보다[볼 수 있다]"
many,"많은, 다수의"
because,…때문에
very,"매우, , 정확히 똑같은"
than,"…보다, ~보다, ~하자 마자"
find,"찾다[발견하다], 찾다[되찾다]"
new,"새, 새 것, 새로 산, 새"
much,"많은, …만큼의 양의"
then,"그때, 그 다음에, 그러면[그렇다면]"
look,"보다, 찾다, 보다, …해[처럼] 보이다"
come,오다
here,"여기에[에서/로], 지금"
good,"좋은[잘 된/괜찮은], 즐거운"
world,"세계, …세계[권역], 지구"
want,"원하다, 필요하다, …해야 한다"
no,"아니[안 돼], 안 돼[저런/설마]"
into,"… 안[속]으로[에], 으로"
work,"일하다, 직장에 다니다, 일을 하게 하다"
thing,"것[거], 물건, 하나[아무것]"
day,"하루, 낮 , 하루[날/일] 참조 workday"
give,"주다, 주다, 제공하다"
may,…일지도 모른다[…일 수도 있다]
ask,"묻다,물어 보다"
feel,"들다[느끼다], 느끼다"
even,"…도[조차], 훨씬, 더 정확히 말하면"
talk,"말하다, 대화[논의/상의]하다"
need,"필요로 하다, …해야 하다"
tell,"알리다[전하다], 말하다 , 알려[보여] 주다"
call,"이름을 지어주다, …라고 여기다"
over,"…위에, …위에[위로]"
only,"유일한, 단 하나의[유일한]"
right,"옳은, 맞는, 맞는[알맞은]"
question,"질문, 문제, 의심"
woman,"여자, …여자[여성], 여자야"
too,"너무 , …도 , 그것도"
become,"…(해)지다, 알맞다, 어울리다"
why,"왜, 이유"
let,"놓아두다, 허락하다, 허용하다[…하게 하다]"
start,"시작하다, 시작되다[시작되게 하다]"
try,"노력하다, 시도하다, 심리[재판]하다"
today,"오늘, 오늘날에"
again,"한 번 더, 다시, 그만큼 더"
where,"어디에, 그 곳에서[거기에서]"
child,"아이, 자식, 사람[자식/후손]"
after,"뒤에[후에], ~마다, 뒤에[다음에]"
back,"등, 등뼈, 뒤쪽, 뒷면"
hear,"듣다, 심리[공판]를 갖다"
any,"어느, 그냥 아무 …가 아닌"
problem,"문제, 물어야 할 것"
word,"단어, 이야기, 약속, 소식"
show,"보여 주다[증명하다], 보여 주다[제시하다]"
help,"돕다, 도움이 되다, 도와[안내해] 주다"
down,"아래로, 세로로"
big,"큰, 나이가 더 많은, 거대한"
man,"남자, 사람들, … 사람[/가//인]"
country,"국가, 지역[고장], 시골"
Yes,"네, 아니[아뇨], 응[그래]"
through,"…을 통해[관통하여], ~을 사이에 두고[~의 건너편에?"
between,"사이[중간]에, 사이에[가운데]"
put,놓다[두다/넣다/얹다]
lot,"모두, 무리[그룹], 품목"
live,살다[거주하다/지내다]
before,"전[앞]에, 앞에, 앞에[먼저]"
same,"같은, 꼭같은"
place,"장소, 곳, 장소[곳]"
happen,있다[발생하다/벌어지다]
keep,유지하다[유지하게 하다]
old,나이[태어난 지/만들어진 지 등]가 …인
group,"무리[집단/그룹],상업"
great,"큰[많은], 엄청난, 대단한[엄청난]"
off,"사라져, 시작[출발]하여"
learn,"배우다, ~을 알게 되다"
little,"작은, 어린, 짧은, 하찮은"
high,"높은, 높이가 …인, 높은[고지의]"
money,"돈, 돈, 재산, 금액"
